Time,Valvula,nivel,presion,Bomba
12/08/2025 16:00,,90.0188,46.2245,
12/08/2025 15:00,,92.4689,45.4997,
12/08/2025 14:00,,90.9586,34.9426,
12/08/2025 13:00,1,92.3215,28.1961,1
12/08/2025 12:00,,91.724,26.0204,
12/08/2025 11:00,1,91.5107,23.5029,1
12/08/2025 10:00,1,91.2271,20.7983,1
12/08/2025 09:00,,91.1541,22.935,
12/08/2025 08:00,,91.3381,33.7578,
12/08/2025 07:00,1,91.575,46.3253,1
12/08/2025 06:00,,91.6566,43.3616,
12/08/2025 05:00,1,92.0898,41.8757,1
12/08/2025 04:00,,93.9101,39.6748,
12/08/2025 03:00,,93.9071,39.6651,
12/08/2025 02:00,,93.8781,39.6855,
12/08/2025 01:00,,93.8439,39.5983,
12/08/2025 00:00,0,93.7031,39.7363,0
11/08/2025 23:00,,92.3011,42.4564,
11/08/2025 22:00,,93.19,46.512,
11/08/2025 21:00,,89.9931,43.0326,
11/08/2025 20:00,,92.8891,44.3769,
11/08/2025 19:00,,89.8694,42.6662,
11/08/2025 18:00,,92.5347,41.7768,
11/08/2025 17:00,,90.3872,41.6399,
11/08/2025 16:00,,91.9628,43.4868,
11/08/2025 15:00,,91.8468,33.5365,
11/08/2025 14:00,,91.0114,32.4581,
11/08/2025 13:00,,91.5219,31.3643,
11/08/2025 12:00,,91.3277,28.157,
11/08/2025 11:00,,91.0169,23.9281,
11/08/2025 10:00,,91.7135,23.8191,
11/08/2025 09:00,,91.8262,27.6775,
11/08/2025 08:00,,91.7905,32.1162,
11/08/2025 07:00,,91.7507,40.8908,
11/08/2025 06:00,,91.4395,44.7355,
11/08/2025 05:00,1,91.8336,43.4135,1
11/08/2025 04:00,,91.007,44.4615,
11/08/2025 03:00,,91,44.4507,
11/08/2025 02:00,,91,44.1052,
11/08/2025 01:00,,91,43.949,
11/08/2025 00:00,0,91.0046,44.0905,0
10/08/2025 23:00,,93.2053,40.6444,
10/08/2025 22:00,,91.2273,41.1288,
10/08/2025 21:00,,91.4522,43.1291,
10/08/2025 20:00,,91.5815,41.9968,
10/08/2025 19:00,,91.399,42.2257,
10/08/2025 18:00,,91.838,40.8475,
10/08/2025 17:00,,93.1065,41.1669,
10/08/2025 16:00,,90.7305,41.9554,
10/08/2025 15:00,,91.2322,44.6801,
10/08/2025 14:00,,91.8416,44.6259,
10/08/2025 13:00,,92.2777,36.0493,
10/08/2025 12:00,,91.8236,33.8247,
10/08/2025 11:00,1,91.608,32.0128,1
10/08/2025 10:00,,93.6903,37.9413,0.5
10/08/2025 09:00,,94.325,42.6913,
10/08/2025 08:00,0,94.3353,42.4784,0
10/08/2025 07:00,,94.3375,42.4625,
10/08/2025 06:00,,94.3463,42.6234,
10/08/2025 05:00,,94.3467,42.6212,
10/08/2025 04:00,,94.3469,42.366,
10/08/2025 03:00,,94.3514,42.4943,
10/08/2025 02:00,,94.3555,42.7196,
10/08/2025 01:00,,94.3333,42.625,
10/08/2025 00:00,,94.3105,42.5955,
09/08/2025 23:00,,94.2659,42.7267,
09/08/2025 22:00,,94.2048,42.5802,
09/08/2025 21:00,,94.1332,42.346,
09/08/2025 20:00,,94.0638,42.3624,
09/08/2025 19:00,,94.0148,42.1104,
09/08/2025 18:00,,93.9908,41.9884,
09/08/2025 17:00,,93.9602,42.0481,
09/08/2025 16:00,0,93.9151,41.9954,0
09/08/2025 15:00,,90.6834,39.9373,
09/08/2025 14:00,,91.4888,39.9786,
09/08/2025 13:00,1,91.2578,40.3231,1
09/08/2025 12:00,1,92.991,40.5986,1
09/08/2025 11:00,1,90.4283,41.1586,1
09/08/2025 10:00,,93.0126,41.4493,
09/08/2025 09:00,,91.093,41.1307,
09/08/2025 08:00,,91.5112,40.9714,
09/08/2025 07:00,,91.9629,41.2944,
09/08/2025 06:00,,91.4793,41.0799,
09/08/2025 05:00,,92.5576,42.2899,1
09/08/2025 04:00,,95.3197,39.8308,
09/08/2025 03:00,,95.2846,39.7688,
09/08/2025 02:00,,95.2398,39.9654,
09/08/2025 01:00,,95.1788,40.0125,
09/08/2025 00:00,,94.5391,39.9819,0
08/08/2025 23:00,,89.9789,39.3792,
08/08/2025 22:00,,93.6109,39.0735,
08/08/2025 21:00,,92.0293,42.1363,
08/08/2025 20:00,,91.1289,40.4342,
08/08/2025 19:00,,91.6975,41.0246,
08/08/2025 18:00,,91.4868,41.9988,
08/08/2025 17:00,,91.6197,41.193,
08/08/2025 16:00,,91.5171,44.6847,
08/08/2025 15:00,,91.5154,42.6506,
08/08/2025 14:00,,91.3136,43.3352,
08/08/2025 13:00,,91.9428,45.1281,
08/08/2025 12:00,,91.6137,43.5537,
08/08/2025 11:00,1,91.6372,34.4385,1
08/08/2025 10:00,,91.4978,33.706,
08/08/2025 09:00,,91.2819,37.1165,
08/08/2025 08:00,1,91.361,42.7316,1
08/08/2025 07:00,,92.032,45.0351,
08/08/2025 06:00,,92.0362,44.123,
08/08/2025 05:00,1,92.4211,42.5734,1
08/08/2025 04:00,,88.6371,40.1796,
08/08/2025 03:00,,88.6109,40.3161,
08/08/2025 02:00,,88.593,40.2164,
08/08/2025 01:00,,88.5665,40.3123,
08/08/2025 00:00,0,88.5051,40.4449,0
07/08/2025 23:00,1,89.981,39.3308,1
07/08/2025 22:00,1,93.3648,39.8772,1
07/08/2025 21:00,,90.8345,42.4336,
07/08/2025 20:00,,92.1137,40.9365,
07/08/2025 19:00,,92.3708,41.0113,
07/08/2025 18:00,,90.1923,39.6538,
07/08/2025 17:00,,92.1759,42.1262,
07/08/2025 16:00,,91.2731,40.6973,
07/08/2025 15:00,,90.547,41.0721,
07/08/2025 14:00,1,93.2267,39.2909,1
07/08/2025 13:00,,90.692,40.1036,
07/08/2025 12:00,,92.8484,39.8844,
07/08/2025 11:00,,91.1586,40.9739,
07/08/2025 10:00,,91.4426,41.6059,
07/08/2025 09:00,,91.8902,43.7919,
07/08/2025 08:00,,91.3839,42.0608,
07/08/2025 07:00,,91.533,43.3664,
07/08/2025 06:00,,91.3938,42.5553,
07/08/2025 05:00,1,92.2848,42.1273,1
07/08/2025 04:00,,89.7414,44.1439,
07/08/2025 03:00,,89.7248,43.8639,
07/08/2025 02:00,,89.6995,43.7365,
07/08/2025 01:00,,89.6672,43.5395,
07/08/2025 00:00,0,89.6073,42.8313,0
06/08/2025 23:00,,92.3501,44.8295,
06/08/2025 22:00,,91.6129,43.9748,
06/08/2025 21:00,,91.2127,45.6259,
06/08/2025 20:00,,91.654,42.4675,0.5
06/08/2025 19:00,,91.4464,41.8802,
06/08/2025 18:00,,91.2802,41.9293,
06/08/2025 17:00,,91.5025,43.0472,
06/08/2025 16:00,,92.2839,41.2134,
06/08/2025 15:00,,90.913,40.0943,
06/08/2025 14:00,1,91.7764,41.2027,1
06/08/2025 13:00,,92.5677,45.6637,
06/08/2025 12:00,,91.7388,39.0079,
06/08/2025 11:00,,91.1603,31.2311,
06/08/2025 10:00,,91.3952,31.0112,
06/08/2025 09:00,,91.7479,38.5636,
06/08/2025 08:00,,91.8262,39.3904,
06/08/2025 07:00,,91.6646,43.8037,
06/08/2025 06:00,,91.7439,42.4235,
06/08/2025 05:00,1,88.8361,41.283,
06/08/2025 04:00,,83.2568,42.5092,1
06/08/2025 03:00,,89.4184,45.2286,
06/08/2025 02:00,,89.367,44.9015,
06/08/2025 01:00,,89.3023,44.4712,
06/08/2025 00:00,0,89.1819,44.2477,0
05/08/2025 23:00,,92.1235,44.9233,
05/08/2025 22:00,,91.1593,47.7114,
05/08/2025 21:00,1,91.3663,45.4964,1
05/08/2025 20:00,,91.7682,44.0129,
05/08/2025 19:00,,90.9742,43.5884,
05/08/2025 18:00,,91.016,42.6447,
05/08/2025 17:00,,91.943,43.7737,
05/08/2025 16:00,,91.8355,43.1712,
05/08/2025 15:00,,91.6936,43.402,
05/08/2025 14:00,,91.4592,44.4258,
05/08/2025 13:00,,90.9196,41.315,
05/08/2025 12:00,,91.5596,35.4878,
05/08/2025 11:00,,91.4427,29.9004,
05/08/2025 10:00,,90.8633,29.0925,
05/08/2025 09:00,,91.0814,30.9238,
05/08/2025 08:00,,91.2408,30.824,
05/08/2025 07:00,,91.2997,30.9841,
05/08/2025 06:00,,91.3472,39.0383,
05/08/2025 05:00,,91.5784,40.8327,
05/08/2025 04:00,,93.1154,39.3344,
05/08/2025 03:00,,90.7324,39.7121,
05/08/2025 02:00,,91.8679,40.3677,
05/08/2025 01:00,,92.9699,41.2724,
05/08/2025 00:00,,90.9861,41.8321,
04/08/2025 23:00,,91.9613,39.0735,
04/08/2025 22:00,,91.742,33.2526,
04/08/2025 21:00,,91.3165,30.8661,
04/08/2025 20:00,,91.4698,30.106,
04/08/2025 19:00,,90.3947,5.6299,
04/08/2025 18:00,,89.6658,3.1478,
04/08/2025 17:00,,91.2522,6.5037,
04/08/2025 16:00,,91.3894,6.5786,
04/08/2025 15:00,,91.5359,6.6487,
04/08/2025 14:00,1,94.1409,9.8979,1
04/08/2025 13:00,,95.1604,8.7415,
04/08/2025 12:00,,91.9405,27.9864,
04/08/2025 11:00,,90.9754,27.7619,
04/08/2025 10:00,,91.397,27.7564,
04/08/2025 09:00,1,92.0683,27.9581,1
04/08/2025 08:00,1,91.7189,32.1027,1
04/08/2025 07:00,,91.5278,38.2065,
04/08/2025 06:00,,91.9526,47.6476,
04/08/2025 05:00,1,92.0541,36.4349,1
04/08/2025 04:00,,94.6832,37.6983,
04/08/2025 03:00,,94.6471,37.5663,
04/08/2025 02:00,,94.6006,37.7158,
04/08/2025 01:00,,94.5079,37.5913,
04/08/2025 00:00,0,94.4051,37.6134,0
03/08/2025 23:00,,91.6106,28.7743,
03/08/2025 22:00,,91.5679,25.626,
03/08/2025 21:00,,91.5927,24.6515,
03/08/2025 20:00,,91.3261,24.1578,
03/08/2025 19:00,1,91.8705,19.4657,1
03/08/2025 18:00,,88.9162,33.5352,
03/08/2025 17:00,,88.8905,33.5975,
03/08/2025 16:00,,88.89,33.5077,
03/08/2025 15:00,,88.924,33.3015,
03/08/2025 14:00,,88.952,33.0014,
03/08/2025 13:00,,88.9903,32.7931,
03/08/2025 12:00,,88.9974,32.5849,
03/08/2025 11:00,,89,32.4748,
03/08/2025 10:00,,89.012,32.4224,
03/08/2025 09:00,,89.0561,32.4415,
03/08/2025 08:00,,89.0907,32.4724,
03/08/2025 07:00,,89.1053,32.5565,
03/08/2025 06:00,,89.0811,32.8379,
03/08/2025 05:00,,89.0775,32.834,
03/08/2025 04:00,,89.0599,33.0143,
03/08/2025 03:00,,89.0417,33.0939,
03/08/2025 02:00,,89.0255,32.9187,
03/08/2025 01:00,,89.0076,32.8466,
03/08/2025 00:00,,89.0026,32.9037,
02/08/2025 23:00,,89.0009,32.9744,
02/08/2025 22:00,,88.9991,33.0054,
02/08/2025 21:00,,88.9958,33.1292,
02/08/2025 20:00,,88.9836,33.3695,
02/08/2025 19:00,,88.9471,33.4925,
02/08/2025 18:00,0,88.9154,33.4908,0
02/08/2025 17:00,0,88.9056,33.3365,0
02/08/2025 16:00,0,88.8689,32.7446,0
02/08/2025 15:00,,90.9965,38.1832,
02/08/2025 14:00,,92.4538,38.4991,
